"A0","A1","A2","A3","A4","A5","ardno_usec_snce_lst_read","python_datetime"
"189","191","198","207","225","229","20004
","2019-09-30 11:36:06.070899"
"189","189","192","197","212","223","20000
","2019-09-30 11:36:06.091206"
"189","190","191","193","206","214","20000
","2019-09-30 11:36:06.108057"
"189","190","191","192","203","211","20000
","2019-09-30 11:36:06.128491"
"189","190","190","192","200","207","20000
","2019-09-30 11:36:06.148962"
"189","189","189","191","203","203","20000
","2019-09-30 11:36:06.169482"
"189","189","189","190","195","203","20000
","2019-09-30 11:36:06.189865"
"189","189","189","190","195","203","20000
","2019-09-30 11:36:06.210227"
"189","189","190","190","196","204","20000
","2019-09-30 11:36:06.230583"
"189","190","190","191","195","203","20000
","2019-09-30 11:36:06.250944"
"189","189","190","190","193","197","20000
","2019-09-30 11:36:06.271352"
"189","189","190","190","192","195","20000
","2019-09-30 11:36:06.288241"
"189","190","190","191","193","197","20000
","2019-09-30 11:36:06.308708"
"189","190","190","192","195","199","20000
","2019-09-30 11:36:06.329219"
"189","190","190","191","194","198","20000
","2019-09-30 11:36:06.349686"
"189","189","190","191","192","195","20000
","2019-09-30 11:36:06.370017"
"189","189","189","190","192","197","20000
","2019-09-30 11:36:06.390413"
"189","190","190","190","192","196","20000
","2019-09-30 11:36:06.410754"
"188","190","191","191","194","197","20000
","2019-09-30 11:36:06.431147"
"189","190","190","191","194","197","20000
","2019-09-30 11:36:06.451538"
"189","189","189","190","198","195","20000
","2019-09-30 11:36:06.468439"
"189","189","189","189","191","194","20000
","2019-09-30 11:36:06.488999"
"189","189","189","189","197","195","20000
","2019-09-30 11:36:06.509602"
"189","189","189","191","194","200","20000
","2019-09-30 11:36:06.529960"
"189","189","189","190","193","199","20000
","2019-09-30 11:36:06.550306"
"189","189","189","189","197","194","20000
","2019-09-30 11:36:06.570708"
"189","189","189","189","190","196","20000
","2019-09-30 11:36:06.590948"
"189","189","190","189","191","194","20000
","2019-09-30 11:36:06.611479"
"189","190","191","191","193","196","20000
","2019-09-30 11:36:06.628275"
"189","189","190","191","193","195","20000
","2019-09-30 11:36:06.648727"
"189","189","189","190","197","193","20000
","2019-09-30 11:36:06.669430"
"189","189","189","189","190","196","20000
","2019-09-30 11:36:06.689668"
"189","189","189","189","191","193","20000
","2019-09-30 11:36:06.710016"
"189","190","190","190","192","198","20000
","2019-09-30 11:36:06.730420"
"189","189","190","190","192","195","20000
","2019-09-30 11:36:06.750788"
"189","189","190","190","191","193","20000
","2019-09-30 11:36:06.771120"
"189","189","189","190","190","192","20000
","2019-09-30 11:36:06.791507"
"189","189","189","190","197","193","20000
","2019-09-30 11:36:06.808447"
"189","190","190","191","192","198","20000
","2019-09-30 11:36:06.829099"
"189","189","190","191","192","198","20000
","2019-09-30 11:36:06.849581"
"189","189","189","190","191","196","20000
","2019-09-30 11:36:06.869888"
"189","189","189","189","190","195","20000
","2019-09-30 11:36:06.890358"
"189","189","189","189","196","193","20000
","2019-09-30 11:36:06.910679"
"189","190","190","191","192","195","20000
","2019-09-30 11:36:06.931049"
"189","190","190","191","192","195","20000
","2019-09-30 11:36:06.951423"
"189","189","189","190","196","193","20000
","2019-09-30 11:36:06.971729"
"189","188","188","189","195","192","20000
","2019-09-30 11:36:06.988615"
"189","189","190","190","191","193","20000
","2019-09-30 11:36:07.009206"
"189","189","190","191","192","198","20000
","2019-09-30 11:36:07.029573"
"189","190","190","191","192","194","20000
","2019-09-30 11:36:07.050001"
"189","189","189","190","196","192","20000
","2019-09-30 11:36:07.070530"
"189","189","189","190","196","192","20000
","2019-09-30 11:36:07.090861"
"189","189","189","190","197","193","20000
","2019-09-30 11:36:07.111173"
"189","189","190","191","192","195","20000
","2019-09-30 11:36:07.131678"
"189","189","189","191","198","194","20000
","2019-09-30 11:36:07.148422"
"189","189","189","190","191","196","20000
","2019-09-30 11:36:07.168941"
"188","189","188","189","189","194","20000
","2019-09-30 11:36:07.189406"
"189","190","189","190","196","192","20000
","2019-09-30 11:36:07.210001"
"189","190","190","191","192","197","20000
","2019-09-30 11:36:07.230203"
"189","190","190","191","192","194","20000
","2019-09-30 11:36:07.250778"
"189","189","190","190","190","192","20000
","2019-09-30 11:36:07.271046"
"189","189","189","190","195","192","20000
","2019-09-30 11:36:07.291535"
"189","189","190","191","190","193","20000
","2019-09-30 11:36:07.311804"
"189","190","190","191","192","197","20000
","2019-09-30 11:36:07.328581"
"189","190","190","191","191","194","20000
","2019-09-30 11:36:07.349136"
"189","189","190","190","190","195","20000
","2019-09-30 11:36:07.369582"
"189","189","189","189","189","191","20000
","2019-09-30 11:36:07.390197"
"189","189","189","190","196","192","20000
","2019-09-30 11:36:07.410454"
"189","189","190","191","192","194","20000
","2019-09-30 11:36:07.430817"
"189","189","189","191","198","194","20000
","2019-09-30 11:36:07.451071"
"189","189","189","190","190","195","20000
","2019-09-30 11:36:07.471431"
"189","189","188","188","188","194","20000
","2019-09-30 11:36:07.491885"
"189","189","189","189","190","195","20000
","2019-09-30 11:36:07.508999"
"189","190","190","190","191","197","20000
","2019-09-30 11:36:07.529265"
"188","190","190","190","191","194","20000
","2019-09-30 11:36:07.549736"
"189","189","190","190","189","192","20000
","2019-09-30 11:36:07.570409"
"189","189","189","189","195","191","20000
","2019-09-30 11:36:07.590652"
"189","189","190","191","190","192","20000
","2019-09-30 11:36:07.611077"
"189","189","190","191","192","194","20000
","2019-09-30 11:36:07.631380"
"189","189","190","191","191","194","20000
","2019-09-30 11:36:07.651769"
"189","189","189","190","190","195","20000
","2019-09-30 11:36:07.668629"
"189","189","189","188","189","191","20000
","2019-09-30 11:36:07.689200"
"189","189","189","189","195","192","20000
","2019-09-30 11:36:07.709461"
"189","190","190","191","191","194","20000
","2019-09-30 11:36:07.730059"
"189","189","189","191","197","193","20000
","2019-09-30 11:36:07.750581"
"189","189","189","190","190","192","20000
","2019-09-30 11:36:07.770905"
"189","189","189","189","195","191","20000
","2019-09-30 11:36:07.791259"
"189","189","189","189","190","196","20000
","2019-09-30 11:36:07.811545"
"189","190","190","190","192","197","20000
","2019-09-30 11:36:07.831894"
"189","189","190","190","191","193","20000
","2019-09-30 11:36:07.849004"
"189","189","189","189","190","195","20000
","2019-09-30 11:36:07.869323"
"189","189","189","189","195","191","20000
","2019-09-30 11:36:07.889897"
"189","190","190","190","190","192","20000
","2019-09-30 11:36:07.910249"
"189","190","190","191","191","194","20000
","2019-09-30 11:36:07.930531"
"189","190","190","191","191","194","20000
","2019-09-30 11:36:07.951028"
"189","189","189","190","190","195","20000
","2019-09-30 11:36:07.971388"
"189","189","189","189","189","191","20000
","2019-09-30 11:36:07.991832"
"189","189","189","189","190","196","20000
","2019-09-30 11:36:08.012142"
"189","189","190","189","191","194","20000
","2019-09-30 11:36:08.029176"
"189","190","190","190","191","193","20000
","2019-09-30 11:36:08.049469"
"189","189","189","189","190","191","20000
","2019-09-30 11:36:08.070126"
"189","189","188","189","194","190","20000
","2019-09-30 11:36:08.090568"
"189","189","189","190","190","195","20000
","2019-09-30 11:36:08.110787"
"189","189","189","190","191","197","20000
","2019-09-30 11:36:08.131212"
"189","189","190","189","190","196","20000
","2019-09-30 11:36:08.151674"
"189","189","189","189","190","194","20000
","2019-09-30 11:36:08.171917"
"189","189","189","189","194","190","20000
","2019-09-30 11:36:08.188904"
"189","189","190","190","189","192","20000
","2019-09-30 11:36:08.209326"
"189","189","190","190","191","194","20000
","2019-09-30 11:36:08.229858"
"189","189","190","191","191","193","20000
","2019-09-30 11:36:08.250208"
"189","189","189","189","195","191","20000
","2019-09-30 11:36:08.270758"
"189","189","189","190","194","190","20000
","2019-09-30 11:36:08.290900"
"190","189","189","190","190","195","20000
","2019-09-30 11:36:08.311342"
"189","190","190","190","191","193","20000
","2019-09-30 11:36:08.331739"
"189","190","190","191","191","193","20000
","2019-09-30 11:36:08.352041"
"189","189","189","190","195","191","20000
","2019-09-30 11:36:08.368924"
"189","189","188","189","194","190","20000
","2019-09-30 11:36:08.389593"
"189","189","189","190","190","192","20000
","2019-09-30 11:36:08.409850"
"189","189","189","190","197","193","20000
","2019-09-30 11:36:08.430379"
"189","189","189","190","191","196","20000
","2019-09-30 11:36:08.450711"
"189","189","188","189","189","194","20000
","2019-09-30 11:36:08.471244"
"189","189","189","189","194","190","20000
","2019-09-30 11:36:08.491433"
"189","189","189","190","190","195","20000
","2019-09-30 11:36:08.511936"
"189","190","190","190","191","194","20000
","2019-09-30 11:36:08.532174"
"189","190","190","191","191","193","20000
","2019-09-30 11:36:08.549107"
"189","189","189","190","195","191","20000
","2019-09-30 11:36:08.569801"
"189","189","189","190","195","191","20000
","2019-09-30 11:36:08.590325"
"189","189","189","190","190","195","20000
","2019-09-30 11:36:08.610594"
"189","190","190","190","191","193","20000
","2019-09-30 11:36:08.630976"
"189","190","190","190","191","196","20000
","2019-09-30 11:36:08.651407"
"189","189","189","189","190","191","20000
","2019-09-30 11:36:08.671731"
"189","189","189","189","195","190","20000
","2019-09-30 11:36:08.692107"
"189","189","189","190","190","192","20000
","2019-09-30 11:36:08.708892"
"189","189","189","190","197","193","20000
","2019-09-30 11:36:08.729382"
"189","189","189","190","191","196","20000
","2019-09-30 11:36:08.749929"
"188","189","189","188","189","194","20000
","2019-09-30 11:36:08.770468"
"189","189","188","188","187","192","20000
","2019-09-30 11:36:08.790932"
"189","189","189","189","189","194","20000
","2019-09-30 11:36:08.811297"
"189","190","190","190","190","193","20000
","2019-09-30 11:36:08.831614"
"189","189","190","191","191","193","20000
","2019-09-30 11:36:08.851946"
"189","189","189","190","195","191","20000
","2019-09-30 11:36:08.872221"
"189","189","189","190","194","190","20000
","2019-09-30 11:36:08.889305"
"189","189","189","190","195","192","20000
","2019-09-30 11:36:08.909778"
"189","189","190","191","191","194","20000
","2019-09-30 11:36:08.930250"
"189","189","189","190","191","196","20000
","2019-09-30 11:36:08.950499"
"189","189","189","189","189","191","20000
","2019-09-30 11:36:08.971055"
"189","189","189","188","194","190","20000
","2019-09-30 11:36:08.991412"
"189","189","189","190","195","192","20000
","2019-09-30 11:36:09.011791"
"189","190","190","191","191","194","20000
","2019-09-30 11:36:09.032049"
"189","189","190","191","191","193","20000
","2019-09-30 11:36:09.052382"
"189","189","189","190","195","191","20000
","2019-09-30 11:36:09.069516"
"189","189","189","189","189","194","20000
","2019-09-30 11:36:09.089989"
"189","189","189","189","190","195","20000
","2019-09-30 11:36:09.110455"
"189","190","189","189","197","193","20000
","2019-09-30 11:36:09.130826"
"189","189","190","190","190","196","20000
","2019-09-30 11:36:09.151234"
"189","189","190","189","189","191","20000
","2019-09-30 11:36:09.171533"
"189","189","190","190","189","191","20000
","2019-09-30 11:36:09.191983"
"189","189","189","190","196","192","20000
","2019-09-30 11:36:09.212293"
"189","190","190","191","191","193","20000
","2019-09-30 11:36:09.229274"
"189","189","190","191","191","196","20000
","2019-09-30 11:36:09.249724"
"189","189","189","190","190","191","20000
","2019-09-30 11:36:09.270013"
"189","189","189","189","189","194","20000
","2019-09-30 11:36:09.290661"
"189","189","189","189","189","192","20000
","2019-09-30 11:36:09.311037"
"189","189","190","190","190","193","20000
","2019-09-30 11:36:09.331300"
"1011","735","554","432","318","260","20000
","2019-09-30 11:36:09.351735"
"1022","908","775","645","461","358","20004
","2019-09-30 11:36:09.372160"
"493","600","647","632","510","416","20000
","2019-09-30 11:36:09.392431"
"189","327","431","493","467","422","20004
","2019-09-30 11:36:09.409450"
"189","231","295","361","402","390","20000
","2019-09-30 11:36:09.430007"
"189","200","228","271","328","345","20000
","2019-09-30 11:36:09.450359"
"189","190","200","223","276","300","20000
","2019-09-30 11:36:09.470782"
"189","189","191","202","241","268","20000
","2019-09-30 11:36:09.491235"
"189","189","189","193","228","246","20000
","2019-09-30 11:36:09.511510"
"189","189","190","192","212","232","20000
","2019-09-30 11:36:09.531948"
"189","190","190","191","205","224","20000
","2019-09-30 11:36:09.552163"
"189","190","190","190","200","213","20000
","2019-09-30 11:36:09.572541"
"189","189","189","190","197","210","20000
","2019-09-30 11:36:09.589663"
"189","190","190","189","196","205","20000
","2019-09-30 11:36:09.610171"
"188","190","191","191","197","205","20000
","2019-09-30 11:36:09.630499"
"189","190","190","192","196","203","20000
","2019-09-30 11:36:09.651008"
"189","189","189","190","200","200","20000
","2019-09-30 11:36:09.671391"
"189","189","189","190","193","201","20000
","2019-09-30 11:36:09.691735"
"189","189","189","190","199","199","20000
","2019-09-30 11:36:09.712064"
"189","189","190","191","194","203","20000
","2019-09-30 11:36:09.732444"
"188","189","190","191","194","202","20000
","2019-09-30 11:36:09.749212"
"189","189","190","190","192","196","20000
","2019-09-30 11:36:09.769902"
"189","189","189","190","197","195","20000
","2019-09-30 11:36:09.790307"
"189","189","189","190","198","196","20004
","2019-09-30 11:36:09.810806"
"189","190","190","191","193","197","20004
","2019-09-30 11:36:09.831118"
"189","190","190","191","193","197","20000
","2019-09-30 11:36:09.851393"
"189","189","190","191","192","195","20000
","2019-09-30 11:36:09.871862"
"189","189","189","190","191","197","20000
","2019-09-30 11:36:09.892197"
"189","190","189","189","192","196","20000
","2019-09-30 11:36:09.912573"
"189","190","190","190","193","197","20000
","2019-09-30 11:36:09.929629"
"189","189","190","190","192","196","20000
","2019-09-30 11:36:09.949996"
"189","189","190","190","191","194","20000
","2019-09-30 11:36:09.970602"
"189","189","189","189","190","193","20000
","2019-09-30 11:36:09.990784"
"189","189","189","189","197","194","20000
","2019-09-30 11:36:10.011373"
"189","189","190","191","192","199","20000
","2019-09-30 11:36:10.031704"
"189","190","189","191","193","199","20000
","2019-09-30 11:36:10.051940"
"189","189","189","189","191","197","20000
","2019-09-30 11:36:10.072434"
"188","189","189","188","190","196","20000
","2019-09-30 11:36:10.092854"
"189","190","190","189","190","194","20000
","2019-09-30 11:36:10.109731"
"188","190","191","191","192","195","20000
","2019-09-30 11:36:10.130269"
"189","190","190","191","192","195","20000
","2019-09-30 11:36:10.150693"
"189","189","189","190","196","193","20000
","2019-09-30 11:36:10.171232"
"189","189","189","189","190","195","20000
","2019-09-30 11:36:10.191518"
"189","189","189","189","191","197","20000
","2019-09-30 11:36:10.211764"
"189","189","190","190","192","198","20000
","2019-09-30 11:36:10.232171"
"188","190","190","190","192","194","20000
","2019-09-30 11:36:10.252514"
"189","189","190","190","190","192","20000
","2019-09-30 11:36:10.269393"
"189","189","189","190","195","192","20000
","2019-09-30 11:36:10.289853"
"189","189","189","190","197","193","20000
","2019-09-30 11:36:10.310327"
"189","190","190","191","192","198","20000
","2019-09-30 11:36:10.330806"
"189","190","190","191","192","194","20000
","2019-09-30 11:36:10.351266"
"189","189","189","190","191","196","20000
","2019-09-30 11:36:10.371613"
"189","189","188","189","189","195","20000
","2019-09-30 11:36:10.391953"
"189","190","190","190","190","193","20000
","2019-09-30 11:36:10.412320"
"189","189","190","191","192","195","20000
","2019-09-30 11:36:10.432658"
"189","189","190","191","191","194","20000
","2019-09-30 11:36:10.449564"
"189","189","189","190","196","192","20000
","2019-09-30 11:36:10.470030"
"189","188","188","189","195","191","20000
","2019-09-30 11:36:10.490543"
"189","189","189","190","196","193","20000
","2019-09-30 11:36:10.510962"
"189","189","190","190","191","197","20000
","2019-09-30 11:36:10.531350"
"189","189","190","190","191","194","20000
","2019-09-30 11:36:10.551734"
"188","190","190","190","190","192","20000
","2019-09-30 11:36:10.572071"
"189","190","189","189","190","191","20000
","2019-09-30 11:36:10.592558"
"189","190","190","190","190","193","20000
","2019-09-30 11:36:10.612893"
"189","189","190","191","192","195","20000
","2019-09-30 11:36:10.630086"
"189","189","190","191","191","194","20000
","2019-09-30 11:36:10.650336"
"189","189","189","190","190","195","20000
","2019-09-30 11:36:10.670864"
"189","189","188","188","188","194","20000
","2019-09-30 11:36:10.691278"
"189","189","189","190","190","196","20000
","2019-09-30 11:36:10.711650"
"189","190","190","190","191","197","20000
","2019-09-30 11:36:10.732099"
"189","189","190","190","191","193","20000
","2019-09-30 11:36:10.752383"
"189","189","190","190","189","192","20000
","2019-09-30 11:36:10.772787"
"189","189","189","189","194","191","20000
","2019-09-30 11:36:10.789766"
"189","189","190","190","190","193","20000
","2019-09-30 11:36:10.810245"
"189","189","190","191","192","197","20000
","2019-09-30 11:36:10.830580"
"189","189","190","190","191","197","20000
","2019-09-30 11:36:10.851150"
"189","189","189","189","190","195","20000
","2019-09-30 11:36:10.871599"
"189","189","189","188","189","191","20000
","2019-09-30 11:36:10.891828"
"189","189","189","189","196","192","20000
","2019-09-30 11:36:10.912196"
"189","190","190","191","191","194","20000
","2019-09-30 11:36:10.932581"
"189","189","190","191","191","193","20000
","2019-09-30 11:36:10.952966"
"189","189","189","189","190","195","20000
","2019-09-30 11:36:10.969983"
"189","189","188","189","194","191","20000
","2019-09-30 11:36:10.990329"
"189","189","189","189","190","195","20000
","2019-09-30 11:36:11.010920"
"189","189","189","189","191","197","20000
","2019-09-30 11:36:11.031252"
"189","189","189","189","196","193","20000
","2019-09-30 11:36:11.051510"
"189","189","189","190","195","191","20000
","2019-09-30 11:36:11.071902"
"189","189","189","189","194","190","20000
","2019-09-30 11:36:11.092300"
"189","190","190","190","190","192","20000
","2019-09-30 11:36:11.112777"
"189","189","190","191","191","194","20000
","2019-09-30 11:36:11.133138"
"189","190","190","191","191","193","20000
","2019-09-30 11:36:11.150065"
"189","189","189","189","190","195","20000
","2019-09-30 11:36:11.170405"
"189","189","189","189","189","191","20000
","2019-09-30 11:36:11.191148"
"189","189","189","189","195","192","20000
","2019-09-30 11:36:11.211356"
"189","190","190","191","191","194","20000
","2019-09-30 11:36:11.231810"
"189","190","190","191","191","193","20000
","2019-09-30 11:36:11.252304"
"189","189","189","190","190","192","20000
","2019-09-30 11:36:11.272602"
"189","189","189","189","194","191","20000
","2019-09-30 11:36:11.292966"
"189","189","189","190","190","195","20000
","2019-09-30 11:36:11.309759"
"189","189","189","190","191","197","20000
","2019-09-30 11:36:11.330157"
"189","189","189","189","191","196","20000
","2019-09-30 11:36:11.350702"
"189","189","189","188","189","195","20000
","2019-09-30 11:36:11.371373"
"189","189","189","188","194","190","20000
","2019-09-30 11:36:11.391766"
"189","190","190","190","190","192","20000
","2019-09-30 11:36:11.411906"
"188","190","190","191","191","194","20000
","2019-09-30 11:36:11.432339"
"189","189","190","191","191","194","20000
","2019-09-30 11:36:11.452701"
"189","189","189","189","189","195","20000
","2019-09-30 11:36:11.473023"
"189","189","189","189","189","194","20000
","2019-09-30 11:36:11.490020"
"189","189","189","189","190","195","20000
","2019-09-30 11:36:11.510535"
"189","190","190","189","191","194","20000
","2019-09-30 11:36:11.531118"
"189","190","190","190","191","193","20000
","2019-09-30 11:36:11.551333"
"189","189","189","190","195","191","20000
","2019-09-30 11:36:11.571876"
"189","189","189","190","195","191","20000
","2019-09-30 11:36:11.592189"
"189","189","189","190","190","195","20000
","2019-09-30 11:36:11.612580"
"189","190","190","190","191","194","20000
","2019-09-30 11:36:11.633066"
"189","189","189","191","191","197","20000
","2019-09-30 11:36:11.653264"
"189","189","189","189","189","195","20000
","2019-09-30 11:36:11.670371"
"189","189","189","188","194","190","20000
","2019-09-30 11:36:11.690656"
"189","189","190","190","189","192","20000
","2019-09-30 11:36:11.711207"
"189","190","190","191","191","193","20000
","2019-09-30 11:36:11.731566"
"189","190","190","191","191","193","20000
","2019-09-30 11:36:11.751868"
"188","189","189","190","196","191","20000
","2019-09-30 11:36:11.772297"
"189","189","189","190","195","191","20000
","2019-09-30 11:36:11.792617"
"189","189","189","190","190","196","20000
","2019-09-30 11:36:11.813026"
"188","190","190","190","191","194","20000
","2019-09-30 11:36:11.829925"
"189","190","190","190","191","193","20000
","2019-09-30 11:36:11.850527"
"189","189","189","189","190","191","20000
","2019-09-30 11:36:11.870870"
"189","189","189","188","194","190","20000
","2019-09-30 11:36:11.891418"
"189","189","189","189","190","192","20000
","2019-09-30 11:36:11.911832"
"188","190","190","190","191","193","20000
","2019-09-30 11:36:11.932229"
"189","189","190","190","191","196","20000
","2019-09-30 11:36:11.952418"
"189","189","189","189","189","194","20000
","2019-09-30 11:36:11.972907"
"189","189","189","188","189","193","20000
","2019-09-30 11:36:11.993294"
"189","189","189","189","190","195","20000
","2019-09-30 11:36:12.010327"
"189","190","190","190","191","193","20000
","2019-09-30 11:36:12.030558"
"189","190","190","191","191","193","20000
","2019-09-30 11:36:12.051064"
"189","190","189","190","195","191","20000
","2019-09-30 11:36:12.071725"
"189","189","189","190","195","190","20000
","2019-09-30 11:36:12.092105"
"189","189","189","189","190","195","20000
","2019-09-30 11:36:12.112329"
"188","190","190","190","191","197","20000
","2019-09-30 11:36:12.132723"
"189","190","190","190","191","196","20000
","2019-09-30 11:36:12.153103"
"189","189","189","190","190","191","20000
","2019-09-30 11:36:12.173438"
"189","189","189","189","194","190","20000
","2019-09-30 11:36:12.190474"
"189","189","189","190","195","192","20000
","2019-09-30 11:36:12.210893"
"189","189","189","191","197","194","20000
","2019-09-30 11:36:12.231287"
"189","189","189","189","191","196","20000
","2019-09-30 11:36:12.251777"
"189","189","188","189","195","191","20000
","2019-09-30 11:36:12.272292"
"189","189","189","189","189","194","20000
","2019-09-30 11:36:12.292433"
"189","189","189","189","190","195","20000
","2019-09-30 11:36:12.312831"
"188","190","190","189","191","193","20000
","2019-09-30 11:36:12.333265"
"189","189","190","190","191","193","20000
","2019-09-30 11:36:12.350029"
"188","189","189","189","195","191","20000
","2019-09-30 11:36:12.370738"
"189","189","190","190","189","190","20000
","2019-09-30 11:36:12.391010"
"188","189","189","190","196","192","20000
","2019-09-30 11:36:12.411710"
"189","189","190","191","191","194","20000
","2019-09-30 11:36:12.431894"
"189","189","189","191","191","196","20000
","2019-09-30 11:36:12.452304"
