"A0","A1","A2","A3","A4","A5","datetime"
"100","122","154","184","247","264","2019-09-05 16:36:27.087013"
"100","110","126","147","204","230","2019-09-05 16:36:27.099543"
"100","105","115","126","184","204","2019-09-05 16:36:27.111748"
"100","105","111","117","167","185","2019-09-05 16:36:27.124101"
"100","104","108","113","148","169","2019-09-05 16:36:27.140288"
"100","103","108","111","141","159","2019-09-05 16:36:27.152549"
"100","105","111","114","141","157","2019-09-05 16:36:27.164999"
"100","105","110","116","139","152","2019-09-05 16:36:27.178375"
"100","104","109","116","137","150","2019-09-05 16:36:27.189440"
"100","104","108","113","135","152","2019-09-05 16:36:27.201763"
"100","103","107","111","128","142","2019-09-05 16:36:27.214127"
"100","104","110","113","137","140","2019-09-05 16:36:27.226359"
"100","104","109","112","131","141","2019-09-05 16:36:27.238685"
"101","103","108","111","133","138","2019-09-05 16:36:27.250903"
"101","104","108","113","126","140","2019-09-05 16:36:27.263259"
"100","105","110","113","133","136","2019-09-05 16:36:27.275471"
"100","104","109","114","134","140","2019-09-05 16:36:27.287844"
"101","103","107","112","130","139","2019-09-05 16:36:27.300038"
"100","104","109","113","131","133","2019-09-05 16:36:27.312435"
"101","105","109","114","133","134","2019-09-05 16:36:27.324618"
"100","104","108","111","127","134","2019-09-05 16:36:27.337035"
"100","104","109","111","132","131","2019-09-05 16:36:27.349354"
"100","104","110","112","133","131","2019-09-05 16:36:27.361513"
"100","104","109","112","128","133","2019-09-05 16:36:27.373837"
"100","104","109","111","133","132","2019-09-05 16:36:27.386228"
"100","104","108","111","125","131","2019-09-05 16:36:27.402551"
"101","105","110","114","127","137","2019-09-05 16:36:27.414794"
"100","105","111","115","135","134","2019-09-05 16:36:27.426941"
"100","105","110","115","134","138","2019-09-05 16:36:27.439483"
"100","103","107","111","130","132","2019-09-05 16:36:27.451601"
"101","104","109","111","130","136","2019-09-05 16:36:27.463914"
"100","104","109","113","124","137","2019-09-05 16:36:27.476307"
"100","104","108","112","123","131","2019-09-05 16:36:27.488443"
"100","103","108","111","122","129","2019-09-05 16:36:27.500856"
"100","104","108","112","123","129","2019-09-05 16:36:27.512966"
"100","105","110","113","132","129","2019-09-05 16:36:27.525281"
"100","103","108","112","125","128","2019-09-05 16:36:27.537692"
"100","103","108","110","123","127","2019-09-05 16:36:27.549850"
